Brand,Series,Operating System,Model,Price,Screen size (inch),Display resolution,Resolution ratings,Dimensions in inches (Depth x width x thickness) ,Weight (Kg),Graphics type,Graphics ratings,Battery (Wh) ,Ratings for battery,Touchscreen,RAM (GB) ,RAM ratings,Storage type (True for hdd, false for ssd) ,Storage type ratings,Storage size (GB) ,Storage size ratings,Processor type ,"Ratings for processor (type, cores and speed)",Processor cores,Processor speed ,Optical drive,Optical drive ratings,Ports,Bluetooth,Bluetooth ,Colour,Link
Dell,Chromebook,Chrome OS,3120,285.99,11.6,1366 x 768,2,11.7 x 0.8 x 8.5,1.27,Intel HD Graphics,1,30,5,FALSE,1,1,FALSE,5,16,1,Intel Celeron N2840,1,2,2.16,FALSE,5,N/A,TRUE,10,Black,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=9971587&CatId=7304,
Lenovo,Notebook,Windows 10,N22 80S6,485.99,11.6,1366 x 768,2,11.8  x 8.3  x 0.9 ,1.22,Intel HD Graphics,1,45,10,FALSE,2,2,FALSE,5,64,3,Intel Celeron N3050,2,1,1.6,FALSE,5,USB 2.0 and USB 3.0,TRUE,10,Black,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=9970951&CatId=4935,
Acer,Aspire,Windows 10,ES1-531-C6FQ,408.99,15.6,1366 x 768,2,15 x 1 x 10.2,2.4,Intel HD Graphics,1,32,5,FALSE,2,2,TRUE,10,500,8,Intel Celeron N3050,2,2,1.6,FALSE,5,USB 2.0 and USB 3.0,TRUE,10,Black,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=10059942&CatId=4935,
ASUS,Notebook,Windows 10 ,R417NA-RS01-BL,329,14,1366 x 768,2,14.01 x 9.25 x 0.72,2.5,Intel HD Graphics 500,3,32,5,FALSE,4,4,TRUE,10,32,2,Intel Dual-Core Celeron N3350,3,2,1.1,FALSE,5,USB 2.0 and USB 3.0 and HDMI,TRUE,10,Black,http://www.canadacomputers.com/product_info.php?cPath=710_577_368&item_id=105247,
Lenovo,Chromebook,Chrome OS,80SF0001US ,229.88,11.6,1366 x 768,2,11.61 x 8.35 x 0.71,1.3,No,0,45,10,FALSE,4,4,TRUE,10,16,1,Intel N3050,3,1,1.5,FALSE,5,N/A,TRUE,10,Black,http://www.canadacomputers.com/product_info.php?cPath=710_577_1202&item_id=093511,
HP,Chromebook,Chrome OS,11,430.99,11.6,1366 x 768,2,11.3 x 8.1 x 0.7,1.23,Intel HD Graphics 400,2,27,3,FALSE,4,4,FALSE,5,16,1,Intel Celeron N3060,4,2,1.6,FALSE,5,USB 3.0 and HDMI,TRUE,10,Black,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=10057941&CatId=7304,
ASUS,Notebook,Chrome OS,C201PA-DS02,279,11.6,1366 x 768,2,11.59 x 8.30 x 0.69,2,No,0,38,8,FALSE,4,4,TRUE,10,16,1,Rockchip RK3288-C Cortex A17,4,4,1.8,FALSE,5,N/A,TRUE,10,Black,http://www.canadacomputers.com/product_info.php?cPath=710_577_369&item_id=083882,
Acer,Chromebook,Chrome OS,NX.EF2AA.001,463.99,11.6,1366 x 768,2,11.3 x 0.8 x 8,1.3,Intel HD,1,30,5,FALSE,2,2,FALSE,5,16,1,Intel Celeron 3205U ,5,2,1.5,FALSE,5,USB 2.0,FALSE,5,Black,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=9974051&CatId=7304,
HP,Notebook,Windows 10,255,419.99,15.6,1366 x 768,2,15.1 x 10 x 1,1.96,AMD Radeon R2,3,41,9,FALSE,2,2,TRUE,10,500,8,AMD E2 7110,5,4,1.8,TRUE,10,USB 2.0 and USB 3.0 and VGA and HDMI,TRUE,10,Black,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=10014376&CatId=4935,
Acer ,Aspire,Windows 10,ES1-732-P0TW,479,17.3,1600 x 900,5,16.7 x11.4 x1.1,2.8,Intel HD Graphics 505 DDR3L SDRAM,5,34,6,FALSE,8,8,TRUE,10,1000,10,Intel Pentium N4200,5,4,1.1,TRUE,10,USB 2.0 and USB 3.0 and HDMI,FALSE,5,Blue,http://www.canadacomputers.com/product_info.php?cPath=710_577_371&item_id=104420,
